"table","mainElement","element","minOccurs","maxOccurs","type","description"
"veg-community","name","name",NA,NA,"xsd:string","A textual label for a community type. Community types represent recurring assemblages of plant species. They may be designated by syntaxa or physiognomic types."
"veg-community","citationID","citationID","0",NA,"xsd:string",NA
"veg-community","rank","rank","0",NA,"xsd:string",NA
"veg-community","commonName","commonName","0",NA,"xsd:string",NA
"veg-community","plotObservationID","plotObservationID",NA,NA,"xsd:string","A reference to a specific plotObservation. The individual plotObservation is defined within the element veg:plotObservations which is a container for all plotObservations within the dataset."
"veg-community","stratumObservationID","stratumObservationID","0","1","xsd:string","A reference to a specific stratumObservation. This element may be used to specify that the community determination applies to a specific stratum."
"veg-community","determinationDate","determinationDate","0","1","xsd:date","The start date of this specific community determination. Recorded in ISO 8601 date format: yyyy-mm-dd."
"veg-community","determinationPartyID","determinationPartyID","0","unbounded","xsd:string","A link to the community determination party by ID"
"veg-community","determinationNote","determinationNote","0","unbounded","misc:noteType",NA
"veg-community","communityRelationshipAssertion","communityRelationshipAssertion",NA,"unbounded",NA,"A container for applying one or more communityConcepts to a plotObservation"
"veg-community","communityRelationshipAssertion","communityConceptID",NA,NA,"xsd:string","A link to a community concept by ID. "
"veg-community","communityRelationshipAssertion","fit","0",NA,"xsd:string","Indicates the degree of fit with the community concept being assigned. Values derive from Gopal, S., and Woodcock, C. (1994), Theory and methods for accuracy assessment of thematic maps using fuzzy sets. Photogrammetric Engineering and Remote Sensing 60(2):181-188. "
"veg-community","communityRelationshipAssertion","confidence","0",NA,"xsd:string","Indicates the degree of confidence of the interpreter(s) in the interpretation made. This can reflect the level of familiarity with the classification or the sufficiency of information about the plot (e.g., High, Moderate, Low). "
"veg-community","communityRelationshipAssertion","accordingTo","0",NA,"xsd:string","Information about the authorship of the asserted community concept."
"veg-misc","citationString","citationString",NA,NA,"xsd:string","a citation string that should be parsed to derive authors, year, title, etc."
"veg-misc","DOI","DOI","0","1","xsd:string","A string of the DOI uniquely identifying the document."
"veg-misc","individualName","individualName",NA,NA,"xsd:string","The full name of the person being described"
"veg-misc","organizationName","organizationName",NA,NA,"xsd:string","The full name of the organization being described"
"veg-misc","positionName","positionName",NA,NA,"xsd:string","The name of the title or position associated with the resource."
"veg-misc","address","address","0","unbounded","xsd:string","The full address information for a given responsible party entry."
"veg-misc","phone","phone","0","unbounded","xsd:string","Information about the contact's telephone."
"veg-misc","electronicMailAddress","electronicMailAddress","0","unbounded","xsd:string","The email address of the contact."
"veg-misc","onlineURL","onlineURL","0","unbounded","xsd:anyURI","A link to associated online information, usually a web site."
"veg-misc","title","title",NA,NA,"xsd:string","Title of the project."
"veg-misc","personnel","personnel","0","unbounded","partyWithRoleType","Contact and role information for people involved in the research project."
"veg-misc","abstract","abstract","0","1","xsd:string","A brief description of the aims and findings of the project."
"veg-misc","funding","funding","0","1","xsd:string","Funding information."
"veg-misc","studyAreaDescription","studyAreaDescription","0","1","xsd:string","Description of the physical area associated with the research project, potentially including coverage, climate, geology, distrubances, etc."
"veg-misc","designDescription","designDescription","0","1","xsd:string","Description of the design of the research project (specially overall plot placement)."
"veg-misc","relatedProjectID","relatedProjectID","0","unbounded","xsd:string","A link to another project, by ID."
"veg-misc","documentCitationID","documentCitationID","0","unbounded","xsd:string","A link, by ID, to the citation of a document describing the project."
"veg-misc","relativeX","relativeX",NA,NA,"xsd:decimal","The X-coordinate of the related items position in meters. The user will enter the relative position of related item with respect to the plot origin (in meters) with the x-axis defined by the plot azimuth."
"veg-misc","relativeY","relativeY",NA,NA,"xsd:decimal","The Y-coordinate of the related items position in metres. The user will enter the relative position of related item with respect to the plot origin (in meters) with the y-axis defined by the plot azimuth."
"veg-misc","relativeZ","relativeZ","0",NA,"xsd:decimal","The Z-coordinate of the related items position in metres. The user will enter the relative position of related item with respect to the plot origin (in meters) with the z-axis defined by the plot azimuth."
"veg-misc","relatedItemID","relatedItemID",NA,NA,"xsd:string","A reference to a specific related item. This would be the item identifer elsewhere in the schema in most cases."
"veg-misc","itemRelationship","itemRelationship",NA,NA,"xsd:string","The type of relationship e.g. relationships such as fused stems, epiphytic, forked stems, epicormic stems. "
"veg-misc","name","name",NA,NA,"xsd:string","The name of the user defined variable"
"veg-misc","value","value",NA,NA,"xsd:string","The value of the user-defined variable."
"veg-misc","methodID","methodID",NA,NA,"xsd:string","A reference to a specific method used to measure the user defined type. The individual method is defined within the element veg:method which is a container for all methods within the dataset."
"veg-misc","attributeID","attributeID",NA,NA,"xsd:string","Allows a measurement value to be qualified (type, units, method, etc.)."
"veg-misc","partyID","partyID",NA,NA,"xsd:string","A reference to a specific party. The individual party is defined with the element veg:partys which is a container for all the parties within the dataset."
"veg-misc","role","role",NA,NA,"xsd:string","Based on the the eml-party module - The role code field provides information on how a person or organization is related to a resource. "
"veg-misc","text","text",NA,NA,"xsd:string","The text of the additional comments or explanations."
"veg-misc","date","date",NA,NA,"xsd:date","The date on which the note was stored in the database. Recorded in ISO 8601 date format: yyyy-mm-dd."
"veg-misc","type","type","0",NA,"xsd:string","The type of note: Database Management, Observation Author, Database User and Internal."
"veg-misc","partyID","partyID","0",NA,"xsd:string","A reference to the specific individual who contributed the note.  The identity of the contributor is defined within the element veg:parties [EML] which is a container for all parties within the dataset."
"veg-misc","value","value",NA,NA,"xsd:string","A string representing a category."
"veg-misc","qualitativeAttributeID","qualitativeAttributeID","0","1","xsd:string","Reference to a qualitative attribute (whose element 'code' should be the same as 'value'). Used to indicate that the value is one among a set of predefined classes."
"veg-misc","value","value",NA,NA,"xsd:string","The amount or extent of a specified measurement of a quantity. Usually numeric, but may be a code if the attribute is ordinal or qualitative."
"veg-misc","attributeID","attributeID",NA,NA,"xsd:string","Allows a measurement value to be qualified (type, units, method, etc.)."
"veg-misc","accuracy","accuracy","0",NA,"xsd:string","The closeness of the estimate or measurement to its true (but unknown) value"
"veg-misc","upperValue","upperValue","0",NA,"xsd:string","An upper value for an uncertain measurement."
"veg-misc","lowerValue","lowerValue","0",NA,"xsd:string","A lower value for an uncertain measurement."
"veg-misc","complexUserDefined","complexUserDefined","0","unbounded","complexUserDefinedType","Complex user-defined information types. "
"veg-misc","relatedAbioticMeasurement","relatedAbioticMeasurement","0","unbounded","relatedItemType","An abiotic measurement may be related to a another."
"veg-misc","name","name",NA,NA,"xsd:string","The unique name of a specific grouping entity that is subsequently referenced by specific observations."
"veg-misc","type","type",NA,NA,"xsd:string","The grouping entity type. For example, grouping of individual organism observations for the purposes of describing a physical relationship. Recommended that a closed-list is developed and used."
"veg-misc","quantitative","quantitative",NA,NA,NA,"A numerical variable, either discrete or continuous may = interval and cardinal"
"veg-misc","quantitative","methodID",NA,NA,"xsd:string","A reference to a specific method that describes the context for the quantitative attribute."
"veg-misc","quantitative","unit",NA,NA,"xsd:string","Unit of measurement (e.g. mm, cm, square meters, number of individuals)"
"veg-misc","quantitative","precision","0","1","xsd:decimal","The smallest place value to which the measurement is expressed (eg, if pi is represented as 3.14, then its precision is .01)."
"veg-misc","quantitative","lowerLimit","0","1","xsd:decimal","potential lower limit of the measurement"
"veg-misc","quantitative","upperLimit","0","1","xsd:decimal","potential upper limit of the measurement"
"veg-misc","ordinal","ordinal",NA,NA,NA,"A scale using numbers or symbols to rank order; its intervals may be specified or not."
"veg-misc","ordinal","methodID",NA,NA,"xsd:string","A reference to a method that describes the context for the ordinal code."
"veg-misc","ordinal","code",NA,NA,"xsd:string","Ordinal class code (e.g. a value like ""+"" or ""1"" in Braun-Blanquet cover scale)"
"veg-misc","ordinal","definition","0","1","xsd:string","Longer description of the definition of the ordinal class. For example, "">1-5 % percent cover"" for code ""1"" in an ordinal cover scale."
"veg-misc","ordinal","lowerLimit","0",NA,"xsd:decimal","Lower limit of the ordinal class in an associated quantitative scale (e.g. 10% cover in a cover class)
					"
"veg-misc","ordinal","upperLimit","0",NA,"xsd:decimal","Upper limit of the ordinal class in an associated quantitative scale (e.g. 25% cover in a cover class)"
"veg-misc","ordinal","order","0",NA,"xsd:decimal","Explicit order in the sequence of ordinal values to which this code belongs."
"veg-misc","qualitative","qualitative",NA,NA,NA,"Unordered categorized variable = nominal"
"veg-misc","qualitative","methodID",NA,NA,"xsd:string","A reference to a specific method. The individual method is defined within the element veg:method which is a container for all methods within the dataset.	"
"veg-misc","qualitative","code",NA,NA,"xsd:string","The label of the category used for measurement values."
"veg-misc","qualitative","definition","0","1","xsd:string","Longer description of the definition of the category."
"veg-misc","name","name",NA,NA,"xsd:string","Name associated with the method. For example, that signified by an ordinal value method such as cover class."
"veg-misc","description","description",NA,NA,"xsd:string","A full description of the type of method e.g., research/project or measured parameter or basal area of all stems > 10 cm dbh or counts of all saplings >1.35 m tall and less than 2 cm dbh."
"veg-misc","subject","subject",NA,NA,"xsd:string","The description of an attribute class for comparative purposes. If two methods measure the same attribute (e.g. plant cover), but with different degrees of precision and accuracy, setting 'subject' to 'plant cover' allows combining their values. All attributes pointing to the same method are assumed to apply to the same subject."
"veg-misc","protocolID","protocolID","0",NA,"xsd:string","A reference to a protocol.  The individual protocol is defined within the element veg:protocols which is a container for all protocols within the dataset."
"veg-misc","citationID","citationID",NA,NA,"xsd:string","A reference to a specific citation of literature.  The literature to which the citation pertains is defined within the element veg:literature [EML] which is a container for all the literature within the dataset."
"veg-misc","citationString","citationString",NA,NA,"xsd:string","A citation string to be used when the full schema for literature citations is to be avoided"
"veg-misc","name","name",NA,NA,"xsd:string","Name of the protocol."
"veg-misc","partyWithRole","partyWithRole","0","1","partyWithRoleType","The party involved in describing the protocol."
"veg-misc","citationID","citationID","0","1","xsd:string","A reference to a specific citation of literature.  The literature to which the citation pertains is defined within the element veg:literature [EML] which is a container for all the literature within the dataset."
"veg-organism","plotID","plotID",NA,NA,"xsd:string","A reference to a specific plot by the plot ID.	"
"veg-organism","individualOrganismLabel","individualOrganismLabel",NA,NA,"xsd:string","A label that is associated with an individual (e.g. a numerical tree tag)"
"veg-organism","organismIdentityID","organismIdentityID","0","1","xsd:string","A reference to a specific organismIdentity representing a taxon occurrence. "
"veg-organism","birthDate","birthDate","0",NA,"xsd:date","Date of birth recorded in ISO 8601 date format: yyyy-mm-dd."
"veg-organism","relatedIndividual","relatedIndividual","0","unbounded","misc:relatedItemType","An individual organism may be related or connected in some way to other individuals. For example fused stems, epiphytic relationships or paired observations. Spatial relationships should be specified in 'location'."
"veg-organism","location","location","0","1",NA,"Information regarding the location of an organism on the earth's surface, either absolute or relative to the plot origin or a related individual. This location is assumed to be constant in time during the organism lifespan. "
"veg-organism","location","horizontalLocation","0","unbounded",NA,"Horizontal location of an item on the Earth's surface (absolute or relative to a reference point such as the plot origin or a related individual). To avoid ambiguity there should be only one coordinate pair for an individual. However, there may be multiple measurements by different parties or at different times that can be accommodated in the scheme."
"veg-organism","horizontalLocation","xyCoordinates",NA,NA,NA,"Values specifying the XY coordinates of an item along with information about units and methods"
"veg-organism","xyCoordinates","valueX",NA,NA,"xsd:string","Value for X coordinates (absolute or in relation to plot origin or related individual)"
"veg-organism","xyCoordinates","valueY",NA,NA,"xsd:string","Value for Y coordinates (absolute or in relation to plot origin or related individual)"
"veg-organism","xyCoordinates","relatedIndividualID","0","1","xsd:string","A reference to a spatially related individual to be used as reference point if coordinates are relative to this individual. This would be the item identifier elsewhere in the schema in most cases."
"veg-organism","xyCoordinates","attributeID",NA,NA,"xsd:string","Specifying units and methods. Typical units are: Decimal degrees like 12.993343 S, or -12.993343 or UTM coordinates like 11N 345567. Methods used could be for example the use of global navigation satellite systems or an estimate based on a map. In case or relative positions this should give the required information about the point of reference, units and methods. Note that there is a designated field for the accuracy."
"veg-organism","xyCoordinates","spatialReference",NA,NA,"xsd:string","Reference system for the coordinates. In case of absolute coordinates ideally a Proj.4 string or EPSG code (see http://spatialreference.org/). Could also be an unambiguous name like 'NAD27(CGQ77) / UTM zone 21N' instead of EPSG:2035. The spatial reference typically used by satellite navigation systems today is EPSG:4326."
"veg-organism","xyCoordinates","locationAccuracy","0","unbounded","misc:MeasurementType","Measure or estimate of accuracy for the coordinates"
"veg-organism","horizontalLocation","polarCoordinates",NA,NA,NA,"Values specifying the polar coordinates relative to a reference point (normally the plot origin but could be a related individual) along with information about units and methods"
"veg-organism","polarCoordinates","direction","0",NA,NA,"Direction of the item as seen from a reference point(normally the plot origin)"
"veg-organism","direction","value","1",NA,"xsd:decimal","Value for the direction, typically expressed as an angle relative to north"
"veg-organism","elevation","attributeID","1",NA,"xsd:string","Specifying units and methods"
"veg-organism","polarCoordinates","distance","0",NA,NA,"Distance from a reference point (normally the plot origin)"
"veg-organism","distance","value","1",NA,"xsd:decimal","Value for the distance"
"veg-organism","elevation","attributeID","1",NA,"xsd:string","Specifying units and methods"
"veg-organism","polarCoordinates","relatedIndividualID","0","1","xsd:string","A reference to a spatially related individual to be used as reference point if polar coordinates are relative to this individual. This would be the item identifier elsewhere in the schema in most cases."
"veg-organism","horizontalLocation","locationDate","0","1","xsd:date","The date when the coordinates have been assessed or measured. This allows for multiple measurements."
"veg-organism","locationPartyID","locationPartyID","0","unbounded","xsd:string",NA
"veg-organism","horizontalLocation","locationSources","0","unbounded","xsd:string","Optionally, maps, gazetteers or other resources used to georeference the locality. The content of this concept is meant to be specific enough to allow anyone in the future to use the same resource to georeference the same locality. Example: ""USGS 1:24000 Florence Montana Quad""."
"veg-organism","locationNote","locationNote","0","unbounded","misc:noteType",NA
"veg-organism","location","verticalLocation","0","unbounded",NA,"Elevation of the item in respect to some vertical datum (such as the mean sea level or an ellipsoid) or in relation to the plot origin or to a relatedIndividual."
"veg-organism","verticalLocation","elevation",NA,NA,NA,"Value specifying the elevation of the item in respect to some vertical datum (such as the mean sea level or an elliposid) or relative to the plot origin or relatedIndividual."
"veg-organism","elevation","value",NA,NA,"xsd:decimal","Elevation in meters"
"veg-organism","elevation","attributeID",NA,NA,"xsd:string","Specifying units and methods. Typically the measures are in meters and relate to the mean sea level or to base heights of an ellipsoid of the Earth. Typical methods are barometric measurements or the interpretation of a map (element elevationSources)."
"veg-organism","elevation","elevationSources","0","unbounded","xsd:string","Maps or other resources used to determin the elevation."
"veg-organism","elevation","elevationAccuracy","0","unbounded","misc:MeasurementType","Measure or estimate of accuracy for the elevation"
"veg-organism","verticalLocation","elevationInPlot","0","unbounded","xsd:string","Point of reference in the plot. This could be the uppermost or lowest point or an average or the plot origin as specified in geometry."
"veg-organism","verticalLocation","elevationDate","0","1","xsd:date","The date when the elevation has been assessed or measured. This allows for multiple measurements."
"veg-organism","verticalLocation","elevationPartyID","0","unbounded","xsd:string","Party who took the measurement or assessed the value"
"veg-organism","verticalLocation","elevationNote","0","unbounded","misc:noteType","Any notes relating to this elevation value"
"veg-organism","location","markers","0","1","xsd:string","Information about markers (like tags) that help locating the organism."
"veg-organism","location","quadrant","0",NA,NA,"One out of four quadrats such as those used in Point-Centred Quarter Method (PCQM)"
"veg-organism","quadrant","value","1",NA,"xsd:string","Value for the quadrant"
"veg-organism","quadrant","attributeID","1",NA,"xsd:string","Division details like orientation of the quadrants"
"veg-organism","individualOrganismNote","individualOrganismNote","0","unbounded","misc:noteType","For specifying additional comments or explanations pertaining to the individual organism."
"veg-organism","organismNameID","organismNameID",NA,NA,"xsd:string","A link to a specific organism name by ID. "
"veg-organism","accordingToCitationID","accordingToCitationID",NA,NA,"xsd:string","A link to a bibliographic reference by ID where the taxon concept is described. "
"veg-organism","originalOrganismNameID","originalOrganismNameID",NA,NA,"xsd:string","A link, by ID, to an organism name (e.g. normally a taxon name, but not necessarily including the authority, or even field names, morphospecies, ...) that the author of the dataset originally used to refer to an organism observed within the plot. The taxon names used as label the organism identity should not contain spelling errors, but they may not be the accepted name according to current nomenclature codes."
"veg-organism","originalIdentificationPartyID","originalIdentificationPartyID","0","unbounded","xsd:string","A link to a party involved in the original organism identification (normally the author of the data set), by ID."
"veg-organism","originalIdentificationNote","originalIdentificationNote","0","unbounded","misc:noteType","Additional comments or explanations pertaining to the original identification of the organism."
"veg-organism","voucher","voucher","0","unbounded","xsd:string","Herbarium accession number for any archived voucher specimens"
"veg-organism","originalIdentificationConcept","originalIdentificationConcept","0","1",NA,"A container of the taxon concept (i.e. taxon name + reference explaining the concept) originally associated to the organism identity. The taxon concept may have been specified by the author of the data set, or it may be asserted by a third party based on information such as date of observation or geographic location."
"veg-organism","originalIdentificationConcept","taxonConceptID",NA,NA,"xsd:string","A link to the taxon concept stated by the author, or as asserted by a third party based on information such as the date of the observation, geographic location, etc."
"veg-organism","originalIdentificationConcept","conceptAssertionDate","0","1","xsd:date","Date of the taxon concept assertion. Recorded in ISO 8601 date format: yyyy-mm-dd."
"veg-organism","originalIdentificationConcept","conceptAssertionPartyID","0","unbounded","xsd:string","A link, by ID, to a party involved in the assertion of the original taxon concept."
"veg-organism","originalIdentificationConcept","conceptAssertionNote","0","unbounded","misc:noteType","Additional comments or explanations pertaining to the assertion of the original taxon concept."
"veg-organism","preferredTaxonNomenclature","preferredTaxonNomenclature","0","1",NA,"The interpretation of the nomenclature that should be applied to organism identity, made after the observation event by the author of the data set or a third party. The sub-element preferredTaxonNameID points to an organism name that is the accepted name according to the current nomenclature."
"veg-organism","preferredTaxonNomenclature","preferredOrganismNameID",NA,NA,"xsd:string","A link to a scientific taxon name (i.e. an organism name whose attribute 'taxonName' is true) accepted to label the organism identity appropriately, as stated by the author of the data set or a third party responsible for its nomenclature."
"veg-organism","preferredTaxonNomenclature","interpretationDate","0","1","xsd:date","Date for the last nomenclature revision applied to this organism identity. Recorded in ISO 8601 date format: yyyy-mm-dd."
"veg-organism","preferredTaxonNomenclature","interpretationSource","0","1","xsd:string","A string describing the source for the last nomenclature interpretation applied to this organism identity (i.e. the Plant List)."
"veg-organism","preferredTaxonNomenclature","interpretationCitationID","0","1","xsd:string","A link to the publication where nomenclature interpretation is described."
"veg-organism","preferredTaxonNomenclature","interpretationPartyID","0","unbounded","xsd:string","A link to a party who undertook the nomenclarure revision."
"veg-organism","preferredTaxonNomenclature","interpretationNote","0","unbounded","misc:noteType","Additional comments or explanations pertaining to the nomenclature interpretation."
"veg-organism","organismIdentityID","organismIdentityID",NA,NA,"xsd:string","A reference to a specific taxonNameUsageConcept through the NameUsageConcept id attribute. The individual NameUsageConcept is defined within the element veg:datasetNameUsageConcepts which is a container for all name usage concepts within the dataset."
"veg-organism","determinationDate","determinationDate","0",NA,"xsd:date","The determination date for the organism or taxon observation. Recorded in ISO 8601 date format: yyyy-mm-dd."
"veg-organism","determinationPartyID","determinationPartyID","0","unbounded","xsd:string","The party that made the determination that applies to this dataset. This is not the same as the authorship of the asserted relationship. See accordingTo."
"veg-organism","determinationNote","determinationNote","0","unbounded","misc:noteType",NA
"veg-organism","taxonRelationshipAssertion","taxonRelationshipAssertion",NA,"unbounded",NA,"A specific taxonomic or nomenclatural assertion record."
"veg-organism","taxonRelationshipAssertion","assertion",NA,NA,NA,"A taxonomic or nomenclatural assertion to either a published nomenclatural name (taxon name) or a specific taxa treatment (taxon concept), according to a third party. "
"veg-organism","assertion","organismNameID",NA,NA,"xsd:string","A reference to a specific Taxon Name. The name is defined within the element veg:organismName which is a container for all Taxon Names within a dataset."
"veg-organism","assertion","taxonConceptID",NA,NA,"xsd:string","A reference to a specific Taxon Concept. The concept is defined within the element veg:taxonConcept which is a container for all Taxon Concepts within a dataset."
"veg-organism","taxonRelationshipAssertion","fit","0",NA,"xsd:string","Indicates the degree of fit with the concept being assigned."
"veg-organism","taxonRelationshipAssertion","confidence","0",NA,"xsd:string","Indicates the degree of confidence of the interpreter(s) in the interpretation made. This can reflect the level of familiarity with the classification or the sufficiency of information about the plot (e.g., High, Moderate, Low). "
"veg-organism","taxonRelationshipAssertion","accordingTo","0",NA,"xsd:string","Information about the authorship of the asserted relationship. "
"veg-plot","relatedPlotID","relatedPlotID",NA,NA,"xsd:string","A reference to a specific related plot. This would be the parent plot identifer in most cases."
"veg-plot","plotRelationship","plotRelationship",NA,NA,"xsd:string","The type of relationship of the current plot with respect to the referenced plot. For a parent-child relationship the relatedPlotType should appear in the subplot and plotRelationship should be 'subplot'. For contiguous plots in a transect both plots should have a relatedPlotType and the value of plotRelationship should be 'contiguous'."
"veg-plot","relativeSpatialCoordinate","relativeSpatialCoordinate","0",NA,"misc:relativeSpatialCoordinateType","Two related plots may have their relative positions described in geometric space using the relative position with respect to the point of origin for the referenced plot."
"veg-plot","plotName","plotName",NA,NA,"xsd:string","Name or label for a plot."
"veg-plot","plotUniqueIdentifier","plotUniqueIdentifier","0",NA,"xsd:string","Plot identifier that is unique across the dataset and derived from the data source, and preferably globally unique.  A GUID (globally unique identifier) would be ideal for this purpose, such as LSID (Life Science Identifier).  See http://www.tdwg.org/activities/online-services/lsid-authority-ids/.	"
"veg-plot","relatedPlot","relatedPlot","0","unbounded","relatedPlotType","A plot may be related spatially to other plots in order to express parent-child, sub-plot or contiguity. "
"veg-plot","placementMethod","placementMethod","0",NA,"xsd:string","Strategy followed when placing this particular plot. Useful for example if different sampling strategies have been followed within one project."
"veg-plot","placementPartyID","placementPartyID","0","unbounded","xsd:string","The party that undertook the plot placement, and/or parties with other roles."
"veg-plot","placementNote","placementNote","0","unbounded","misc:noteType","Additional comments or explanations regarding plot placement."
"veg-plot","location","location","0","1",NA,"Information regarding the location of a plot on the earth's surface"
"veg-plot","location","horizontalCoordinates","0","unbounded",NA,"Horizontal location of a plot on the Earth's surface. To avoid ambiguity there should be only one coordinate pair for a plot per measurement. However, there may be multiple measurements by different parties or at different times that can be accommodated in the scheme."
"veg-plot","horizontalCoordinates","coordinates",NA,NA,NA,"Value specifying easting or longitude of a point"
"veg-plot","valueX","valueX",NA,NA,"xsd:string",NA
"veg-plot","valueY","valueY",NA,NA,"xsd:string",NA
"veg-plot","coordinates","attributeID",NA,NA,"xsd:string","Specifying units and methods. Typical units are: Decimal degrees like 12.993343 S, or -12.993343 or UTM coordinates like 11N 345567 Methods used could be for example the use of global navigation satellite systems or an estimate based on a map. Note that there is a designated field for the accuracy "
"veg-plot","coordinates","spatialReference",NA,NA,"xsd:string","Reference system for the coordinates. Ideally a Proj.4 string or EPSG code (see http://spatialreference.org/). Could also be an unambiguous name like 'NAD27(CGQ77) / UTM zone 21N' instead of EPSG:2035. The spatial reference typically used by satellite navigation systems today is EPSG:4326."
"veg-plot","innerBoundary","locationAccuracy","0","unbounded","misc:MeasurementType","Measure or estimate of accuracy for the coordinates"
"veg-plot","horizontalCoordinates","locationInPlot","0","1","xsd:string","Text describing the position of the coordinates within a plot (simply 'plot origin' if an origin is defined in geometry)"
"veg-plot","horizontalCoordinates","locationDate","0","1","xsd:date","The date when the coordinates have been assessed or measured. This allows for multiple measurements."
"veg-plot","locationPartyID","locationPartyID","0","unbounded","xsd:string",NA
"veg-plot","horizontalCoordinates","locationSources","0","unbounded","xsd:string","Optionally, maps, gazetteers or other resources used to georeference the locality. The content of this concept is meant to be specific enough to allow anyone in the future to use the same resource to georeference the same locality. Example: ""USGS 1:24000 Florence Montana Quad""."
"veg-plot","locationNote","locationNote","0","unbounded","misc:noteType",NA
"veg-plot","location","verticalCoordinates","0","unbounded",NA,"Elevation of the plot in respect to some vertical datum (such as the mean sea level or an elliposid)."
"veg-plot","verticalCoordinates","elevation",NA,NA,NA,"Value specifying the elevation of the plot in respect to some vertical datum (such as the mean sea level or an elliposid)."
"veg-plot","elevation","value",NA,NA,"xsd:decimal","Elevation in meters"
"veg-plot","elevation","attributeID",NA,NA,"xsd:string","Specifying units and methods. Typically the measures are in meters and relate to the mean sea level or to base heights of an ellipsoid of the Earth. Typical methods are barometric measurements or the interpretation of a map (element elevationSources)."
"veg-plot","elevation","elevationSources","0","unbounded","xsd:string","Maps or other resources used to determin the elevation."
"veg-plot","elevation","elevationAccuracy","0","unbounded","misc:MeasurementType","Measure or estimate of accuracy for the elevation"
"veg-plot","verticalCoordinates","elevationInPlot","0","unbounded","xsd:string","Point of reference in the plot. This could be the uppermost or lowest point or an average or the plot origin as specified in geometry."
"veg-plot","verticalCoordinates","elevationDate","0","1","xsd:date","The date when the elevation has been assessed or measured. This allows for multiple measurements."
"veg-plot","verticalCoordinates","elevationPartyID","0","unbounded","xsd:string","Party who took the measurement or assessed the value"
"veg-plot","verticalCoordinates","elevationNote","0","unbounded","misc:noteType","Any notes relating to this elevation value"
"veg-plot","location","markers","0","1","xsd:string","Information about markers (like magnetic markers or wooden pegs) that help locating the plot. There should also be a description about where in the plot the markers are found (for example in the corners or in the centre)."
"veg-plot","location","locationInWaterBody","0","unbounded",NA,"Location in respect to a water surface or shoreline."
"veg-plot","locationInWaterBody","depth",NA,NA,NA,"Value specifying the depth in meters under a water surface"
"veg-plot","depth","value",NA,NA,"xsd:decimal","Depth in meters"
"veg-plot","depth","attributeID",NA,NA,"xsd:string","Specifying units and methods. Typically the measures are in meters and relate to the mean water surface level."
"veg-plot","depth","depthAccuracy","0","unbounded","misc:MeasurementType","Measure or estimate of accuracy for the depth"
"veg-plot","locationInWaterBody","depthInPlot","0","unbounded","xsd:string","Point of reference in the plot. This could be the uppermost or lowest point or an average."
"veg-plot","locationInWaterBody","depthDate","0","1","xsd:date","The date when the depth has been assessed or measured. This allows for multiple measurements."
"veg-plot","locationInWaterBody","depthPartyID","0","unbounded","xsd:string","Party who took the measurement"
"veg-plot","locationInWaterBody","depthNote","0","unbounded","misc:noteType","Any notes relating to this depth value"
"veg-plot","locationInWaterBody","shoreDistance",NA,NA,"misc:MeasurementType","Closest distance to shore (for aquatic / marine sites)"
"veg-plot","location","gridPosition","0","unbounded",NA,"Position in a grid such as used for floristic surveys"
"veg-plot","gridPosition","gridSystem",NA,NA,"xsd:string","Name of the reference grid system"
"veg-plot","gridPosition","gridCell",NA,NA,"xsd:string","Label of the grid cell"
"veg-plot","gridPosition","gridCellQuadrant",NA,NA,"xsd:string","Quadrant of a grid cell"
"veg-plot","location","authorLocation","0",NA,"xsd:string","Descriptive note about the original location described by author."
"veg-plot","location","locationNarrative","0",NA,"xsd:string","Text description that provides information useful for plot relocation."
"veg-plot","location","places","0","unbounded",NA,"A collection of named places or geographic regions. Includes elements to indicate what type of place and which place/geo-region schema it was from."
"veg-plot","places","placeName",NA,NA,"xsd:string","A place name, e.g. Germany."
