"table","mainElement","element","minOccurs","maxOccurs","type","description"
"veg-plot","places","placeType",NA,NA,"xsd:string","What type of place name it is e.g. administrative region, country name, city name etc. "
"veg-plot","places","placeSchema","0",NA,"xsd:string","A place/geo-region schema from which the type and name were derived e.g. ISO country names."
"veg-plot","geometry","geometry","0","1",NA,"Information regarding the geometry of the plot (area, shape, dimensions, coordinates, ...) as well as the point within the plot that serves as plot origin for location."
"veg-plot","geometry","area","0","1","misc:MeasurementType","Total area of the plot. Usually recorded in square meters."
"veg-plot","geometry","shape","0","1","xsd:string","Plot's shape: linear, rectangle, polygon or circle."
"veg-plot","geometry","plotOrigin","0",NA,NA,"Definition of the position of the plot origin within the plot (here usually ""center""). This is referred to in the horizontalCoordinates element under locationInPlot. The actual coordinates go into the location - horizontalCoordinates element"
"veg-plot","plotOrigin","plotOriginPosition",NA,NA,"xsd:string","The position of the origin point on the plot. Usually the center of the circle. If there are coordinates for this point they should be given under location > hozizontalCoordinates."
"veg-plot","plotOrigin","plotOriginLabel","0","1","xsd:string","An identifier used to label the plot origin."
"veg-plot","geometry","radius","0","1","misc:MeasurementType","Define the radius of circular plots. Usually recorded in meters."
"veg-plot","geometry","width","0","1","misc:MeasurementType","Width of a regular rectangle. In case of a quadrat width of all sides."
"veg-plot","geometry","length","0","1","misc:MeasurementType","Length (largest dimension) of a rectangle plot or length of a linear plot."
"veg-plot","geometry","orientation","0","1","misc:MeasurementType","Orientation of the main axis of the plot (e.g. in degrees from North). For quadrat plots the axis closer to the N-S axis should be given."
"veg-plot","geometry","bandWidth","0","1","misc:MeasurementType","Distance from the linear plot axis. This distance delimits the surface included for measurements. "
"veg-plot","geometry","path","0","1",NA,"Set of points conforming the path in a linear plot (i.e. a transect)"
"veg-plot","coordinates","coordinates",NA,NA,"plotCoordinatesType",NA
"veg-plot","innerBoundary","attributeID",NA,NA,"xsd:string","Specifying units and methods. Typical units are: Decimal degrees like 12.993343 S, or -12.993343 or UTM coordinates like 11N 345567 Methods used could be for example the use of global navigation satellite systems or an estimate based on a map. Note that there is a designated field for the accuracy"
"veg-plot","innerBoundary","spatialReference",NA,NA,"xsd:string","Reference system for the coordinates. Ideally a Proj.4 string or EPSG code (see http://spatialreference.org/). Could also be a unambiguous name like 'NAD27(CGQ77) / UTM zone 21N' instead of EPSG:2035. The spatial reference typically used by satellite navigation systems today is EPSG:4326."
"veg-plot","innerBoundary","locationAccuracy","0","unbounded","misc:MeasurementType","Measure or estimate of accuracy for the coordinates"
"veg-plot","geometry","outerBoundary","0","1",NA,"Absolute or relative coordinates defining the outline of a polygon."
"veg-plot","coordinates","coordinates",NA,NA,"plotCoordinatesType",NA
"veg-plot","innerBoundary","attributeID",NA,NA,"xsd:string","Specifying units and methods. Typical units are: Decimal degrees like 12.993343 S, or -12.993343 or UTM coordinates like 11N 345567 Methods used could be for example the use of global navigation satellite systems or an estimate based on a map. Note that there is a designated field for the accuracy"
"veg-plot","innerBoundary","spatialReference",NA,NA,"xsd:string","Reference system for the coordinates. Ideally a Proj.4 string or EPSG code (see http://spatialreference.org/). Could also be a unambiguous name like 'NAD27(CGQ77) / UTM zone 21N' instead of EPSG:2035. The spatial reference typically used by satellite navigation systems today is EPSG:4326."
"veg-plot","innerBoundary","locationAccuracy","0","unbounded","misc:MeasurementType","Measure or estimate of accuracy for the coordinates"
"veg-plot","geometry","innerBoundary","0","1",NA,"Coordinates defining any inner boundary of a polygon"
"veg-plot","coordinates","coordinates",NA,NA,"plotCoordinatesType",NA
"veg-plot","innerBoundary","attributeID",NA,NA,"xsd:string","Specifying units and methods. Typical units are: Decimal degrees like 12.993343 S, or -12.993343 or UTM coordinates like 11N 345567 Methods used could be for example the use of global navigation satellite systems or an estimate based on a map. Note that there is a designated field for the accuracy"
"veg-plot","innerBoundary","spatialReference",NA,NA,"xsd:string","Reference system for the coordinates. Ideally a Proj.4 string or EPSG code (see http://spatialreference.org/). Could also be a unambiguous name like 'NAD27(CGQ77) / UTM zone 21N' instead of EPSG:2035. The spatial reference typically used by satellite navigation systems today is EPSG:4326."
"veg-plot","innerBoundary","locationAccuracy","0","unbounded","misc:MeasurementType","Measure or estimate of accuracy for the coordinates"
"veg-plot","topography","topography","0","1",NA,"Information regarding the shape and features of the surface on which the plot was placed (e.g. aspect, slope, ...)."
"veg-plot","topography","aspect","0",NA,"misc:MeasurementType","Representative azimuth of slope gradient (0-360 degrees) or as a cardinal direction (e.g. N, S, NE)."
"veg-plot","topography","slope","0",NA,"misc:MeasurementType","Representative inclination of slope in degrees."
"veg-plot","topography","landform","0",NA,"xsd:string","Slope position like downslope and / or or vertical and horizontal slope curvature at the position of the plot"
"veg-plot","parentMaterial","parentMaterial","0","unbounded","misc:ClassType","Underlying geological material (generally bedrock or a superficial or drift deposit) in which soil horizons form. "
"veg-plot","topography","simpleUserDefined","0","unbounded","misc:simpleUserDefinedType",""
"veg-plot","complexUserDefined","complexUserDefined","0","unbounded","misc:complexUserDefinedType",NA
"veg-plot","stratumName","stratumName",NA,NA,"xsd:string","Name associated with this stratum and which identifies it."
"veg-plot","methodID","methodID","0",NA,"xsd:string","A link, by ID, to a specific method used to define this stratum (e.g. Tiers according to Allen (1992)). The same method should be referred to by all stratum elements that share a common stratum definition approach. "
"veg-plot","definition","definition","0",NA,"xsd:string","The verbal description of the stratum definition (e.g. ""Trees between 2 and 5 m height"")."
"veg-plot","order","order","0",NA,"xsd:integer","An indication of a position in an ordered sequence of strata. "
"veg-plot","upperLimit","upperLimit","0","1","xsd:decimal","Upper limit of the stratum in some known dimension (e.g. height) defined in the attribute of the method pointed to by 'methodID'."
"veg-plot","lowerLimit","lowerLimit","0","1","xsd:decimal","Lower limit of the stratum in some known dimension (e.g. height) defined in the attribute of the method pointed to by 'methodID'."
"veg-plot","surfaceName","surfaceName",NA,NA,"xsd:string","Name associated with this stratum "
"veg-plot","definition","definition","0",NA,"xsd:string","A longer description of the surface definition"
"veg-plot","methodID","methodID","0",NA,"xsd:string","A reference to a specific method used to define this surface cover. The individual method is defined within the element veg:methods which is a container for all methods within the dataset."
"veg-plotobservation","plotID","plotID",NA,NA,"xsd:string","A reference to a specific plot by the plot ID."
"veg-plotobservation","obsStartDate","obsStartDate",NA,NA,"xsd:date","The start date of this specific observation of the plot. Recorded in ISO 8601 date format: yyyy-mm-dd."
"veg-plotobservation","obsEndDate","obsEndDate","0",NA,"xsd:date","The end date of this specific observation of the plot. Recorded in ISO 8601 date format: yyyy-mm-dd."
"veg-plotobservation","plotObservationUniqueIdentifier","plotObservationUniqueIdentifier","0",NA,"xsd:string","Plot observation identifier that is unique across the dataset and derived from the data source, and preferably globally unique.  A GUID (globally unique identifier) would be ideal for this purpose, such as LSID (Life Science Identifier).  See http://www.tdwg.org/activities/online-services/lsid-authority-ids/.	"
"veg-plotobservation","projectID","projectID","0","unbounded","xsd:string","A reference to a specific 'project' by ID."
"veg-plotobservation","communityObservationID","communityObservationID","0","1","xsd:string","A link to a specific community observation by ID. Note that the relationship is one-to-one. Only one community observation (with potentially many measurements inside) is allowed for each plot observation. "
"veg-plotobservation","siteObservationID","siteObservationID","0","1","xsd:string","A link to a specific site observation by ID. Note that the relationship is one-to-one. Only one siteObservation (with potentially many measurements inside) is allowed for each plot observation."
"veg-plotobservation","previousPlotObservationID","previousPlotObservationID","0","unbounded","xsd:string","A link to a previous plot observation, by ID. Not normally necessary as observations can be ordered via obsStartDate."
"veg-plotobservation","observationPartyID","observationPartyID","0","unbounded","xsd:string","A link to a party that participated in the observation of the plot, by ID."
"veg-plotobservation","license","license","0",NA,NA,"License linked to this plot observation."
"veg-plotobservation","license","licenseName",NA,NA,"xsd:string","License name like Public Domain, BY, BY-NC, BY-NC-SA, all rights reserved"
"veg-plotobservation","license","attribution","0","1","xsd:string","Details about an appropriate credit often including the names of the original author(s), funding sources and details about the best way to cite the work."
"veg-plotobservation","license","partyID","0",NA,"xsd:string","Reference to a party holding the license."
"veg-plotobservation","taxonomicQuality","taxonomicQuality","0","unbounded",NA,"Subjective assessment of the taxonomic quality on the plot."
"veg-plotobservation","taxonomicQuality","qualityAssessment",NA,NA,"xsd:string","Subjective assessment of the taxonomic quality on the plot (e.g., Highest, High, High but incomplete, Moderate, Moderate and incomplete, Low, Very incomplete, absent). 		"
"veg-plotobservation","taxonomicQuality","assessmentType",NA,NA,"xsd:string","Type that is being assessed, e.g. bryophytes or lichens."
"veg-plotobservation","taxonomicQuality","qualityAssessmentMethodID","0",NA,"xsd:string","A reference to a specific method used to assess taxonomic quality. Defined within the element veg:method which is a container for all methods within the dataset.	"
"veg-plotobservation","observationNarrative","observationNarrative","0",NA,"xsd:string","Additional unstructured observations useful for understanding the ecological attributes and significance of the plot observations. 				"
"veg-plotobservation","observationConditions","observationConditions","0",NA,NA,"Conditions at the time of observation."
"veg-plotobservation","observationConditions","temperature","0",NA,"misc:MeasurementType","Temperature during observation."
"veg-plotobservation","observationConditions","weather","0",NA,NA,"Descriptive assessment of weather conditions during the observation."
"veg-plotobservation","referencePublication","referencePublication","0",NA,NA,"Reference to an original publication and additionally a table or section within a publication."
"veg-plotobservation","referencePublication","citationID",NA,NA,"xsd:string","A reference to a specific citation of literature by ID."
"veg-plotobservation","referencePublication","referenceTable","0",NA,"xsd:string","Reference to a specific table in the cited publication."
"veg-plotobservation","referencePublication","referencePlot","0",NA,"xsd:string","Plot number in original publication."
"veg-plotobservation","referencePublication","referenceText","0",NA,"xsd:anyType","Reference to a section within a publication. Type unspecified. "
"veg-plotobservation","observationGroupingID","observationGroupingID","0","unbounded","xsd:string","A reference to a specific observation grouping by ID."
"veg-plotobservation","observationNote","observationNote","0","unbounded","misc:noteType","Additional comments or explanations pertaining to the observation event."
"veg-plotobservation","simpleUserDefined","simpleUserDefined","0","unbounded","misc:simpleUserDefinedType",NA
"veg-plotobservation","complexUserDefined","complexUserDefined","0","unbounded","misc:complexUserDefinedType",NA
"veg-plotobservation","plotObservationID","plotObservationID",NA,NA,"xsd:string","A reference to a specific plotObservation.  The individual plotObservation is defined within the element veg:plotObservation which is a container for all plotObservations within the dataset."
"veg-plotobservation","individualOrganismID","individualOrganismID",NA,NA,"xsd:string","A reference to a specific individualOrganism.  The particular individualOrganism is defined with the element veg:individualOrganisms which is a container for all individualOrganisms within the dataset"
"veg-plotobservation","stratumObservationID","stratumObservationID","0","1","xsd:string","A reference to a specific stratum observation that this individual was measured in on the plot. The individual stratum observations are defined with the element veg:stratumObservation which is a container for all the stratum observations in the dataset."
"veg-plotobservation","heightMeasurement","heightMeasurement","0","1","misc:MeasurementType","Measurement of the maximum height reached by the observed individual."
"veg-plotobservation","diameterMeasurement","diameterMeasurement",NA,NA,"misc:MeasurementType","Diameter of the stem without explicit measurement of base distance (may be defined in the measurement method definition)"
"veg-plotobservation","diameterBaseDistanceMeasurement","diameterBaseDistanceMeasurement",NA,NA,NA,"A container for diameter measurements at a given distance along the stem from the ground."
"veg-plotobservation","diameterBaseDistanceMeasurement","diameter",NA,NA,"misc:MeasurementType","Diameter of the stem at the point of measurement (baseDistance)"
"veg-plotobservation","diameterBaseDistanceMeasurement","baseDistance","0","1","misc:MeasurementType","The distance along the stem from the ground (usually in meters) at which diameter was measured"
"veg-plotobservation","individualOrganismMeasurement","individualOrganismMeasurement","0","unbounded","misc:MeasurementType","A measurement applying to the observed individual. This includes qualitative, ordinal or quantitative assessments of form, health, dimensions of components, ..."
"veg-plotobservation","individualOrganismMultipleMeasurement","individualOrganismMultipleMeasurement","0","unbounded",NA,"A n-tuple of a related measurements (e.g. paired data such as length, width and height to calculate volume). The definition of the relationship type is left open to the user, but is intended to allow specifying a set of measurements that have to be considered together.  "
"veg-plotobservation","individualOrganismMultipleMeasurement","name",NA,NA,"xsd:string","Name of the quantity (e.g. volume) being measured via multiple measurements (e.g. length, width, height)."
"veg-plotobservation","measurement","measurement","2","unbounded","misc:MeasurementType",NA
"veg-plotobservation","observationGroupingID","observationGroupingID","0","unbounded","xsd:string","A reference to a specific observationGrouping.  The individual observationGrouping is defined within the element veg:observationGrouping which is a container for all observationGroupings within the dataset."
"veg-plotobservation","observationNote","observationNote","0","unbounded","misc:noteType","Additional comments or explanations regarding this observation."
"veg-plotobservation","simpleUserDefined","simpleUserDefined","0","unbounded","misc:simpleUserDefinedType","Simple user-defined information types stored as a name-value pair. "
"veg-plotobservation","complexUserDefined","complexUserDefined","0","unbounded","misc:complexUserDefinedType","Complex user-defined information types. "
"veg-plotobservation","plotObservationID","plotObservationID",NA,NA,"xsd:string","A link to a specific plot observation by ID. "
"veg-plotobservation","organismIdentityID","organismIdentityID",NA,NA,"xsd:string","A link to a specific organism identity  by ID."
"veg-plotobservation","aggregateOrganismMeasurement","aggregateOrganismMeasurement","0","unbounded","misc:MeasurementType","A measurement for a aggregate organism value (e.g. plant cover of a taxon). Values can be further defined uppervalue, accuracy etc. Many measurements (e.g. counts, cover, basal area...) can be added to the same aggregate organism observation."
"veg-plotobservation","heightMeasurement","heightMeasurement","0",NA,"misc:MeasurementType","Optional height at which the aggregated observation was made, e.g. in meters. It applies to all aggregate measurements included in this aggregateOrganismObservation."
"veg-plotobservation","stratumObservationID","stratumObservationID","0",NA,"xsd:string","A reference to a specific stratumObservation by ID. It applies to all aggregate measurements included in this aggregateOrganismObservation."
"veg-plotobservation","observationGroupingID","observationGroupingID","0","unbounded","xsd:string","A reference to a specific observationGrouping by ID.  "
"veg-plotobservation","observationNote","observationNote","0","unbounded","misc:noteType","Additional comments or explanations regarding this observation."
"veg-plotobservation","simpleUserDefined","simpleUserDefined","0","unbounded","misc:simpleUserDefinedType",NA
"veg-plotobservation","complexUserDefined","complexUserDefined","0","unbounded","misc:complexUserDefinedType",NA
"veg-plotobservation","stratumID","stratumID",NA,NA,"xsd:string","A reference to a specific stratum. The individual stratum is defined within the element veg:strata which is a container for all strata within the dataset."
"veg-plotobservation","plotObservationID","plotObservationID",NA,NA,"xsd:string","A reference to a specific plotObservation. The individual plotObservation is defined within the element veg:plotObservations which is a container for all plotObservations within the dataset."
"veg-plotobservation","lowerLimitMeasurement","lowerLimitMeasurement","0","1","misc:MeasurementType","A measurement of the lower limit (i.e. height) of the stratum."
"veg-plotobservation","upperLimitMeasurement","upperLimitMeasurement","0","1","misc:MeasurementType","A measurement of the upper limit (i.e. height) of the stratum."
"veg-plotobservation","stratumMeasurement","stratumMeasurement","0","unbounded","misc:MeasurementType","A measurement (e.g. plant cover, or individual count) made in the stratum."
"veg-plotobservation","observationGroupingID","observationGroupingID","0","unbounded","xsd:string","A reference to a specific observationGrouping.  "
"veg-plotobservation","observationNote","observationNote","0","unbounded","misc:noteType","Additional comments or explanations regarding this observation."
"veg-plotobservation","simpleUserDefined","simpleUserDefined","0","unbounded","misc:simpleUserDefinedType",NA
"veg-plotobservation","complexUserDefined","complexUserDefined","0","unbounded","misc:complexUserDefinedType",NA
"veg-plotobservation","plotObservationID","plotObservationID",NA,NA,"xsd:string","A reference to a specific plotObservation. The individual plotObservation is defined within the element veg:plotObservation, which is a container for all the plotObservations within the dataset."
"veg-plotobservation","communityMeasurement","communityMeasurement","0","unbounded","misc:MeasurementType","A measurement such as total basal area or Leaf Area Index, applying to an entire plant community or stand."
"veg-plotobservation","successionalType","successionalType","0","unbounded","misc:ClassType","Description of the assumed successional status of the plot."
"veg-plotobservation","observationGroupingID","observationGroupingID","0","unbounded","xsd:string","A reference to a specific observationGrouping.  The individual observationGrouping is defined within the element veg:observationGrouping which is a container for all observation groupings within the dataset."
"veg-plotobservation","observationNote","observationNote","0","unbounded","misc:noteType","Additional comments or explanations regarding this observation."
"veg-plotobservation","simpleUserDefined","simpleUserDefined","0","unbounded","misc:simpleUserDefinedType","Simple user-defined information types, relevant to the communityObservation stored as a name-value pair."
"veg-plotobservation","complexUserDefined","complexUserDefined","0","unbounded","misc:complexUserDefinedType","Complex user-defined information types that pertain to the communityObservation."
"veg-plotobservation","plotObservationID","plotObservationID",NA,NA,"xsd:string","A reference to a specific plotObservation. Note that the relationship is in fact be one-to-one. Only one site observation (with multiple measurements inside) is allowed for each plotObservation."
"veg-plotobservation","soilMeasurement","soilMeasurement","0","unbounded","misc:AbioticMeasurementType","A measurement of a soil attribute (soil chemistry, soil texture, structure, ...)."
"veg-plotobservation","climateMeasurement","climateMeasurement","0","unbounded","misc:AbioticMeasurementType","A measurement of a climate attribute."
"veg-plotobservation","waterBodyMeasurement","waterBodyMeasurement","0","unbounded","misc:AbioticMeasurementType","A measurement of an attributes of a water body within the plot (e.g. water level, water chemistry, etc.). Not for soil water, which should be included in soilMeasurement."
"veg-plotobservation","soilType","soilType","0","unbounded","misc:ClassType","A specific soil type, applying to this plot during the plot observation."
"veg-plotobservation","humusType","humusType","0","unbounded","misc:ClassType","A specific humus type, applying to this plot during the plot observation. 		"
"veg-plotobservation","climateType","climateType","0","unbounded",NA,"A specific climate type, applying to this plot during the plot observation."
"veg-plotobservation","climateType","name",NA,NA,"xsd:string","Name."
"veg-plotobservation","schema","schema","0",NA,"xsd:string",NA
"veg-plotobservation","hydrologicRegimeType","hydrologicRegimeType","0","unbounded","misc:ClassType","Reflection of frequency and duration of water level variations, applying to this plot during the plot observation.					"
"veg-plotobservation","legalProtection","legalProtection","0","unbounded","misc:ClassType","Legal protection status of the plot during the plot observation. Recommended that this is from a closed list of legal protection status types."
"veg-plotobservation","landuse","landuse","0","unbounded","misc:ClassType","A specific land use type, for example pasture, applying to this plot during the plot observation."
"veg-plotobservation","habitat","habitat","0","unbounded","misc:ClassType","A specific habitat type, applying to this plot during the plot observation."
"veg-plotobservation","observationGroupingID","observationGroupingID","0","unbounded","xsd:string","A reference to a specific observationGrouping.  The individual observationGrouping is defined within the element veg:observationGrouping which is a container for all observation groupings within the dataset."
"veg-plotobservation","observationNote","observationNote","0","unbounded","misc:noteType","Additional comments or explanations regarding this observation."
"veg-plotobservation","simpleUserDefined","simpleUserDefined","0","unbounded","misc:simpleUserDefinedType","Simple user-defined information types, relevant to the abioticObservation stored as a name-value pair. "
"veg-plotobservation","complexUserDefined","complexUserDefined","0","unbounded","misc:complexUserDefinedType","Complex user-defined information types that pertain to the abioticObservation."
"veg-plotobservation","plotObservationID","plotObservationID",NA,NA,"xsd:string","A link to a specific plotObservation by ID."
"veg-plotobservation","surfaceTypeID","surfaceTypeID",NA,NA,"xsd:string","A link to a specific surface type by ID."
"veg-plotobservation","surfaceCover","surfaceCover",NA,NA,"misc:MeasurementType","Percent of surface covered for different surface categories, e.g. green foliage, litter, water, exposed bedrock, bare soil, gravel etc."
"veg","vegX","vegX",NA,NA,NA,NA
"veg","vegX","parties","0",NA,NA,"A container for eml-party types. The eml-party module describes a responsible party (person or organization)."
"veg","parties","party",NA,"unbounded","misc:partyType","The eml-party module describes a responsible party (person or organization), and is typically used to name the originator of a resource or metadata document."
"veg","vegX","literatureCitations","0",NA,NA,"A container literature citations. "
"veg","literatureCitations","literatureCitation",NA,"unbounded","misc:literatureCitationType","Provides information about the literature citation. Basically a citation string that should be parsed to derive authors, year, title, etc. DOI may be also specified to facilitate the identification of the document"
"veg","vegX","methods","0",NA,NA,"A container for the methods followed in the creation of the datasets."
"veg","methods","method",NA,"unbounded","misc:MethodType","A specific method definition followed in the creation of the dataset. Each method links to a protocol and literature citation reference. A protocol may have many method or steps."
"veg","vegX","attributes","0",NA,NA,"A container for the definitions of measured properties."
"veg","attributes","attribute",NA,"unbounded","misc:AttributeType","A specific definition of a measured property. An attribute has to be one of three types: qualitative (unordered categorical variable, i.e. nominal), ordinal (ordered list of values) or quantitative (a numerical variable, either discrete or continuous"
"veg","vegX","strata","0",NA,NA,"A container for the definitions of strata, following a specific definition method."
"veg","strata","stratum",NA,"unbounded","plot:StratumType","The specific definition of a stratum referred to by observations in the dataset. A stratum usually belongs to a ordered list that together are the set of strata definitions in use in a specific dataset. It contains the stratum name (e.g. tree layer) as well as an identification code. It may also contain an indication of a position in an ordered sequence of strata."
"veg","vegX","surfaceTypes","0","1",NA,"A container for surface types, following a specific definition method."
"veg","surfaceTypes","surfaceType","1","unbounded","plot:SurfaceTypeType","The definition of a surface type, not the observation of cover on them."
"veg","vegX","organismNames","0",NA,NA,"A container for all organism nomenclatural units defined for use by a dataset. "
"veg","organismNames","organismName",NA,"unbounded","org:OrganismNameType","The name of an organism used in the data set. This will normally be a nomenclatural unit of any rank (order, family, genus, species, subspecies, etc.). If it is a formal scientific name (not necessarily including authority) then the attribute 'taxonName' should be set to true. However, the organism name can be a morphospecies, a field name... cases in which the attribute 'taxonName' should be set to false."
"veg","vegX","taxonConcepts","0",NA,NA,"A container for all taxon concepts defined for use by a dataset."
"veg","taxonConcepts","taxonConcept",NA,"unbounded","org:TaxonConceptType","Representation of a taxon concept (i.e., an organism name and the organism description given by an author in a publication). A taxon concept may be referenced in an organism identity as the original concept used by the author of the data set, or it can be referenced in taxonDetermination allowing an organism identity to be mapped to a taxonomic concept by third parties after re-examination."
"veg","vegX","taxonDeterminations","0",NA,NA,"A container for relationships or assertions between two concepts."
"veg","taxonDeterminations","taxonDetermination",NA,"unbounded","org:TaxonDeterminationType","A specific relationship or assertion between two name concepts which are not part of the original definition of either of these concepts; possibly by a third party. Within vegX this typically allows for an organism identity, to be linked to a specific taxa treatment (taxon concept), according to a third party. Similar to a tcs TaxonRelationshipAssertion."
"veg","vegX","organismIdentities","0",NA,NA,"A container for organism identities used within the dataset."
"veg","organismIdentities","organismIdentity",NA,"unbounded","org:OrganismIdentityType","The identity of an organism (or a set of organisms) occurring within the dataset. "
"veg","vegX","communityConcepts","0","1",NA,"A container for community concepts, i.e. names of plant community types and preferably references that help to define the types."
"veg","communityConcepts","communityConcept","1","unbounded","comm:CommunityConceptType","A name of a plant community type, preferably together with a reference that helps to define the type."
"veg","vegX","communityDeterminations","0",NA,NA,"A container for identifications that apply one or more CommunityConcepts to a PlotObservation by a Party."
"veg","communityDeterminations","communityDetermination",NA,"unbounded","comm:CommunityDeterminationType","An application of one or more communityConcepts to a plotObservation."
"veg","vegX","projects","0",NA,NA,"A container for projects."
"veg","projects","project",NA,"unbounded","misc:projectType","Describes the research context in which the dataset was created, including descriptions of over-all motivations and goals, funding, personnel, description of the study area etc. Sub-element definitions were taken from Ecological Markup Language (EML)."
"veg","vegX","plots","0",NA,NA,"A container for a sampling locations (plots)."
"veg","plots","plot",NA,"unbounded","plot:PlotType","A plot is a sampling location, represented as one or more points, lines, polygons, or volumes, and is the basis for experimentation or measurement. Its properties are assumed to be constant over time. A point within the plot may be used as center for relative coordinates, which are required to be Cartesian. Plots may have no explicit bounds, and may refer to an area of inference. A plot may be related to other plots in order to express parent-child, contiguity, or other type of links."
"veg","vegX","individualOrganisms","0",NA,NA,"A container for all identified organisms recorded within the dataset."
"veg","individualOrganisms","individualOrganism",NA,"unbounded","org:IndividualOrganismType","An identified organism recorded during 1 or more individual organism observation events. Individuals may have an identification label (e.g. tree tag number)."
"veg","vegX","plotObservations","0",NA,NA,"A container for a specific type of observation grouping that groups observations taken on a single plot and during a single date-time period."
"veg","plotObservations","plotObservation",NA,"unbounded","obs:PlotObservationType","A specific observation grouping that groups observations taken on a single plot and during a single date-time period."
"veg","vegX","individualOrganismObservations","0",NA,NA,"A container for measurements/observations applying to one occurrence of an organism."
"veg","individualOrganismObservations","individualOrganismObservation",NA,"unbounded","obs:IndividualOrganismObservationType","An element individualOrganismObservation is an observation applying to one occurrence of an organism (or part of an organism). It is a container for measurements made on the organism (e.g. diameter, height, crown dimensions, biomass, growth form, number of stems). An individualOrganismObservation contains a reference to a unique plotObservation and to an individualOrganism. Optionally, the individualOrganismObservation may also link to a stratumObservation. "
"veg","vegX","aggregateOrganismObservations","0",NA,NA,"A container for all observation applying to all occurrences of an organism based on an aggregation factor."
"veg","aggregateOrganismObservations","aggregateOrganismObservation",NA,"unbounded","obs:AggregateOrganismObservationType","An observation applying to all occurrences of an organism based on an aggregation factor. It contains an AggregateValue, which is an assessment of the overall occurrence of an organism in a Plot (e.g. number of stems, percentage cover, total biomass, basal area). An AggregateOrganismObservation contains a link to a taxonOccurrence, where all the taxon identification information is contained. It also contains a reference to a single PlotObservation. Most of the remaining contextual information concerning the observation (like date-time period, observer, methods, protocol, projects _) is specified in the related PlotObservation. Optionally, the AggregateOrganismObservation may link to a StratumObservation. Additional grouping criteria may be specified through the reference to one or more ObservationGroupings. Finally, it may also have simple and/or complex user-defined elements."
"veg","vegX","stratumObservations","0",NA,NA,"A container for observations applying to a stratum in a single plot during a single date-time period."
"veg","stratumObservations","stratumObservation",NA,"unbounded","obs:StratumObservationType","A specific observation applying to a stratum in a single plot during a single date-time period. Each stratum measurement may be referenced by observations of taxa within a plot. For example, abundance estimates of a taxa on a plot within a specific stratum. Typically, it contains the lower and upper vertical bounds of the stratum and an assessment of cover. A StratumObservation always contains a reference to a PlotObservation, where contextual information lies (plot, project, parties, date-time period). It also contains a reference to a Stratum, which contains its definition."
"veg","vegX","communityObservations","0","1",NA,"A container for measurements applying to entire plant communities, such as successional stage or Leaf Area Index."
"veg","communityObservations","communityObservation","1","unbounded","obs:CommunityObservationType","A container for measurements applying to an entire plant community, such as successional stage or Leaf Area Index. Made on a single plot during a single date-time period."
"veg","surfaceCoverObservations","surfaceCoverObservations","0","1",NA,NA
"veg","surfaceCoverObservation","surfaceCoverObservation","1","unbounded","obs:SurfaceCoverObservationType",NA
"veg","siteObservations","siteObservations","0","1",NA,NA
"veg","siteObservation","siteObservation","1","unbounded","obs:SiteObservationType",NA
"veg","vegX","observationGroupings","0",NA,NA,"A container for a set of observation records, of any kind, that are grouped."
"veg","observationGroupings","observationGrouping",NA,"unbounded","misc:ObservationGroupingType","A specific grouping of observation records, of any kind, that are grouped in the data management system owing to some common characteristic."
"veg","vegX","protocols","0",NA,NA,"A container for groups of methods related by common action."
"veg","protocols","protocol",NA,"unbounded","misc:ProtocolType","A specific grouping of methods related by common action."
"veg","note","note","0","unbounded","misc:noteType",NA
"veg","protocols","simpleUserDefined","0","unbounded","misc:simpleUserDefinedType",""
"veg","complexUserDefined","complexUserDefined","0","unbounded","misc:complexUserDefinedType",NA
